t,x,y,theta,dist,heading_err,v_cmd,omega_cmd
0.003001689910888672,-0.9904,-0.5,0.02766601058837681,2.3853720883753127,0.5763752205911836,0.6,1.7291256617735509
0.018544673919677734,-0.9802039033325438,-0.49971784268946345,0.055762418249505785,2.3773287866847532,0.5509099541397839,0.6,1.6527298624193518
0.03710794448852539,-0.9688216225899526,-0.4990824805117743,0.08569127805849597,2.3686439093664533,0.5250677159471984,0.6,1.575203147841595
0.05433917045593262,-0.9592568474040495,-0.49826085064186304,0.10957423010183875,2.3587865254724427,0.49756150090297435,0.6,1.492684502708923
0.07052898406982422,-0.9491180193728269,-0.49714542867986994,0.1338312587164232,2.350355000932623,0.47562801205067595,0.6,1.4268840361520279
0.08714842796325684,-0.9396038629985125,-0.4958644804041415,0.15559281923274604,2.3412918050915685,0.4533658440900572,0.6,1.3600975322701716
0.10277438163757324,-0.9301198325568147,-0.49437680887421637,0.17639634718273056,2.332665406124901,0.4334068322913436,0.6,1.3002204968740307
0.11908388137817383,-0.9206688009065049,-0.4926921721938478,0.19628457757371853,2.323956516671632,0.4143381331455829,0.6,1.2430143994367486
0.13496828079223633,-0.9112531405669207,-0.4908199167706799,0.21529830123351212,2.315172065922289,0.3961192429123672,0.6,1.1883577287371017
0.1509075164794922,-0.9018747785611032,-0.48876898379082945,0.2334764568188641,2.306318413588805,0.37871157469482863,0.6,1.136134724084486
0.16672348976135254,-0.8925352461561797,-0.48654791772756517,0.25085621807934233,2.297401394381942,0.3620783595933008,0.6,1.0862350787799024
0.18293547630310059,-0.8832357239017702,-0.4841648764270962,0.26747307666515496,2.288426359434047,0.3461845538710975,0.6,1.0385536616132924
0.19913291931152344,-0.8739770823477999,-0.48162764238682804,0.28336092074535024,2.2793982147989946,0.33099675167073217,0.6,0.9929902550121965
0.21521210670471191,-0.8647599188019494,-0.4789436349037826,0.29855210968276236,2.2703214571718235,0.31648310286275283,0.6,0.9494493085882585
0.230971097946167,-0.8555845904648788,-0.47611992282445353,0.3130775449938912,2.2612002069766297,0.3026132356485194,0.6,0.9078397069455582
0.24674010276794434,-0.8464512442589777,-0.4731632376732831,0.32696673780540575,2.252038238973797,0.2893581835732224,0.6,0.8680745507196672
0.26368069648742676,-0.8367916311057453,-0.46988728380762806,0.3410779439538789,2.242839010537369,0.2766903166367243,0.6,0.8300709499101728
0.28108978271484375,-0.8271792058034467,-0.46647535183179223,0.3545331162902894,2.233028707759132,0.2638269085570637,0.6,0.7914807256711911
0.2971768379211426,-0.8181762425628225,-0.4631426872990244,0.36660838918385874,2.223183228372771,0.25156818528268987,0.6,0.7547045558480696
0.3131732940673828,-0.8092141775409508,-0.45970155513885613,0.3781558600227872,2.2138866948190605,0.24057230914434147,0.6,0.7217169274330244
0.32943105697631836,-0.7997348372705885,-0.4559356411676287,0.38988904035062033,2.204564344317133,0.23006235936927366,0.6,0.690187078107821
0.34626078605651855,-0.7908553053691161,-0.4522868176297285,0.40041971390421915,2.1946343247203015,0.21938903236664586,0.6,0.6581670970999376
0.36221861839294434,-0.7820146896706721,-0.4485446906847378,0.41049080678748817,2.1852654297311123,0.2098144350681057,0.6,0.6294433052043171
0.3780519962310791,-0.7732122089775759,-0.4447137203575662,0.4201225957300734,2.1758768804413333,0.20066226963718803,0.6,0.6019868089115641
0.3940713405609131,-0.7644470351174774,-0.4407981454058834,0.4293344530647074,2.166470351450374,0.19191369447153983,0.6,0.5757410834146195
0.4100780487060547,-0.7557183023613978,-0.4368019941984159,0.4381448876822911,2.1570473748570143,0.18355072119965632,0.6,0.550652163598969
0.42667460441589355,-0.746481791592196,-0.43247453896347493,0.44709825260260105,2.1476093523031525,0.17555617490803943,0.6,0.5266685247241183
0.44309473037719727,-0.7378254190826321,-0.42832397093299185,0.4551351916035955,2.1375668732360906,0.16743622918737966,0.6,0.502308687562139
0.4591636657714844,-0.7292026836424226,-0.42410396696046365,0.4628224435062984,2.1281017280145043,0.16015108130630873,0.6,0.4804532439189262
0.4749476909637451,-0.7206126428903056,-0.4198178031888644,0.470175391398004,2.1186251303721715,0.15318641441052883,0.6,0.4595592432315865
0.49094367027282715,-0.7120543500059178,-0.415468593731384,0.47720873489617244,2.1091380561382103,0.14652798954517232,0.6,0.43958396863551696
0.5071251392364502,-0.7035268580329953,-0.4110592989292934,0.4839365208769064,2.0996413978871566,0.14016220793195622,0.6,0.42048662379586865
0.5228703022003174,-0.695029223617692,-0.4065927332078635,0.4903721727942072,2.0901359720273898,0.13407608161043516,0.6,0.4022282448313055
0.5387275218963623,-0.6865605102414818,-0.4020715725436537,0.49652851865740333,2.080622525290933,0.1282572054832536,0.6,0.38477161644976077
0.5560071468353271,-0.6775922460498857,-0.3972125358706356,0.5027858989226845,2.0711017406741705,0.1226937306917888,0.6,0.3680811920753664
0.5727908611297607,-0.6686545620748174,-0.3922974768514774,0.5087550435868167,2.060978796604297,0.11704205223788255,0.6,0.35112615671364766
0.5897572040557861,-0.6597463758512832,-0.3873291553837346,0.5144493819800235,2.050848926868944,0.11165369398445169,0.6,0.33496108195335506
0.6060123443603516,-0.6513889634776516,-0.38260542185853746,0.5195621629537195,2.0407127567043144,0.10651627028532884,0.6,0.3195488108559865
0.6218972206115723,-0.6430558116470444,-0.3778390206408421,0.5244536495450323,2.031167421091871,0.10190597065234641,0.6,0.30571791195703923
0.6387345790863037,-0.634226715612828,-0.3727314710112659,0.5294260253633762,2.0216174610275077,0.09749756506556606,0.6,0.2924926951966982
