t,x,y,theta,dist,heading_err,v_cmd,omega_cmd
0.0006906986236572266,-0.9904,-0.5,0.036895391720659365,2.3853720883753127,0.5763752205911836,0.6,2.3059619825412074
0.016699790954589844,-0.980206941689131,-0.4996237523804365,0.06680640715571284,2.3773287866847532,0.5416805730075014,0.6,1.7594714961796263
0.03244900703430176,-0.9706283565836037,-0.49898288782675204,0.09418492685078395,2.368594821759354,0.5139898135164467,0.6,1.7111574809419454
0.04896831512451172,-0.9610709049586096,-0.49808004872929423,0.12040785808246346,2.3602399586987173,0.48861104615662265,0.6,1.638933201979958
0.06542348861694336,-0.9509447557361926,-0.4968548540813527,0.14715519128713872,2.351767613346231,0.4643042234365651,0.6,1.5733725414514776
0.08232951164245605,-0.9408549953039875,-0.49535928247801536,0.17212448594072827,2.3426519059580575,0.43950663401134715,0.6,1.4687820384464527
0.09964823722839355,-0.930805719505797,-0.4936122690459251,0.19586600841794377,2.33342533274549,0.41639727952587346,0.6,1.396560145718558
0.11557626724243164,-0.9213892763226764,-0.4917439548916512,0.21676688767937335,2.324100563465885,0.39443088587493236,0.6,1.306304953839361
0.13161087036132812,-0.9120139364015231,-0.48967925119309597,0.23696867413511136,2.315240634613798,0.3751234119523823,0.6,1.262611653483611
0.14881396293640137,-0.9020989849376042,-0.48728472880478263,0.25753570510777246,2.306310877560012,0.35644671045958987,0.6,1.2098253513330022
0.16521573066711426,-0.8922353751698747,-0.48468680610578796,0.2767463046017804,2.296754780448855,0.33742936855068173,0.6,1.1300352643533944
0.1822986602783203,-0.8830006597134796,-0.482063824893614,0.29372888066378033,2.287132463331883,0.31969522001269013,0.6,1.0614110038749918
0.1984424591064453,-0.8732375161836904,-0.4791106861537756,0.3113493825051723,2.27802088128758,0.30403706656336915,0.6,1.03650010831717
0.21527433395385742,-0.8635279213492154,-0.4759859832638457,0.3277441660183147,2.268290752851324,0.2877627860022809,0.6,0.9643990301848335
0.23162221908569336,-0.8544389204876431,-0.4728956655878878,0.34225159258847837,2.2585120197010093,0.27264974881459914,0.6,0.9067141606352334
0.24889278411865234,-0.8448305062140523,-0.4694724543546952,0.357301027986193,2.249268122143691,0.25929164247243275,0.6,0.8852609057479102
0.26489949226379395,-0.8358368019701256,-0.46611488321281697,0.37031806559375724,2.23941061643981,0.245410031832348,0.6,0.8135648504727587
0.2808833122253418,-0.8268875640723229,-0.4626405284455929,0.3829540210221465,2.2300994733331745,0.2334388487851653,0.6,0.7897472142743318
0.29705214500427246,-0.8179829412393613,-0.45905337188325834,0.394915154461716,2.220760967739543,0.22180287274339516,0.6,0.7475708399731029
0.3129911422729492,-0.8091218608204931,-0.4553599650805422,0.4063005629668113,2.211397152907619,0.2107967426633408,0.6,0.7115880315684635
0.3287849426269531,-0.8003034047521277,-0.45156591281807795,0.4171248371416034,2.202010569735219,0.20032354384638795,0.6,0.6765171359244979
0.3445703983306885,-0.7915265323455054,-0.4476766312960135,0.4274185851211185,2.192603380297096,0.1903705033118812,0.6,0.6433592487196969
0.3616931438446045,-0.7822441362138727,-0.44344849671260084,0.43793759565552914,2.183177567762201,0.18090881696929806,0.6,0.6187653255535559
0.3774092197418213,-0.7735501055148464,-0.43937739978371443,0.4470669852538216,2.173144800754326,0.17123430666159045,0.6,0.5705868498932762
0.39420247077941895,-0.7648936032322557,-0.4352271024170786,0.45592279662672297,2.1636858172725457,0.16286095474055529,0.6,0.5534882108063335
0.4106428623199463,-0.7557354810956016,-0.4307361338210934,0.4649339597500366,2.15421341219384,0.15472771011732744,0.6,0.5300684190184574
0.428037166595459,-0.7466181990839645,-0.42616282334395766,0.4733553754593469,2.144135842401525,0.1464496782647151,0.6,0.4953773946653038
0.4439277648925781,-0.7380737798649917,-0.42178642068761457,0.4808022880490044,2.1340455484178724,0.1387257419958634,0.6,0.4654320368535807
0.4599344730377197,-0.7295621879535586,-0.41734651042577053,0.48799464950202687,2.1245381902970895,0.1319036709451309,0.6,0.44952259081389656
0.47655367851257324,-0.7205527844456434,-0.4125641837502323,0.49532046968670285,2.1150219593291464,0.12530828041493347,0.6,0.4309305990985876
0.4942913055419922,-0.7115786568452859,-0.4077159847225003,0.502166071908531,2.10490232167137,0.11858809509082358,0.6,0.40268248363694603
0.5103974342346191,-0.7026379281009208,-0.40280646646510637,0.5086771032566455,2.09477430725187,0.11231857665064293,0.6,0.38300184400672066
0.5273213386535645,-0.6937293546718286,-0.39783883931942887,0.5148455933127813,2.084638891985389,0.10635595790584373,0.6,0.36285235624329026
0.544335126876831,-0.6848515932933328,-0.3928163545851079,0.5206947900438754,2.0744968093152534,0.10070941937930655,0.6,0.3440703959466965
0.5618720054626465,-0.6760033611160579,-0.38774202829120086,0.5262402212505481,2.064348746503068,0.09535698975904427,0.6,0.3262018356866473
0.5781564712524414,-0.667702225167919,-0.38292008449533216,0.5311289406440167,2.0541953150179317,0.09028433149853221,0.6,0.30554496209177684
0.5941636562347412,-0.6594247614526539,-0.37805761655790876,0.5358544270408405,2.0446345977050453,0.08581894085008646,0.6,0.29534289980150275
0.610105037689209,-0.6511703675965946,-0.3731560880137656,0.5403332508851277,2.0350700938425432,0.0814977898882061,0.6,0.27992649026795946
0.6263175010681152,-0.6424234871624436,-0.3679089857019495,0.5449144437387514,2.025502108039593,0.0774048027250327,0.6,0.26948193256610514
0.6436672210693359,-0.6337007364184872,-0.3626218674453935,0.5491924194611819,2.015332803798469,0.07321497988813874,0.6,0.2516456307311926
